text,value
BUNCHE   4276,BUNCHE  |  04276  
BUNCHE   4280,BUNCHE  |  04280  
BUNCHE   4357,BUNCHE  |  04357  
BUNCHE   5288,BUNCHE  |  05288  
BUNCHE   5391,BUNCHE  |  05391  
BUNCHE   6250,BUNCHE  |  06250  
BUNCHE   6265,BUNCHE  |  06265  
BUNCHE   6275,BUNCHE  |  06275  
BUNCHE   6299,BUNCHE  |  06299  
BUNCHE   6339,BUNCHE  |  06339  
BUNCHE   6345,BUNCHE  |  06345  
BUNCHE   7386,BUNCHE  |  07386  
BUNCHE   9294,BUNCHE  |  09294  
BUNCHE   9383,BUNCHE  |  09383  
BUNCHE   10383,BUNCHE  |  10383  
BUNCHE   11372,BUNCHE  |  11372  
BUNCHE   A152,BUNCHE  | A00152  
BUNCHE   A162,BUNCHE  | A00162  
BUNCHE   A163,BUNCHE  | A00163  
CAMPBEL  1224,CAMPBEL |  01224  
CAMPBEL  2101K,CAMPBEL |  02101K 
CAMPBEL  2122A,CAMPBEL |  02122A 
CAMPBEL  2122B,CAMPBEL |  02122B 
CAMPBEL  2210D,CAMPBEL |  02210D 
CAMPBEL  2210F,CAMPBEL |  02210F 
CAMPBEL  3103D,CAMPBEL |  03103D 
CAMPBEL  3221,CAMPBEL |  03221  
CAMPBEL  3232,CAMPBEL |  03232  
CARNESL  212A,CARNESL |  00212A 
CARNESL  218,CARNESL |  00218  
CARNESL  SP206,CARNESL |SP00206  
CNSI     146,CNSI    |  00146  
CNSI     5200,CNSI    |  05200  
CNYN PT  F401,CNYN PT | F00401  
COLLINS  A201,COLLINS | A00201  
COLLINS  A301,COLLINS | A00301  
COLLINS  A416,COLLINS | A00416  
CORNELL  D301,CORNELL | D00301  
CORNELL  D303,CORNELL | D00303  
CORNELL  D307,CORNELL | D00307  
CORNELL  D310,CORNELL | D00310  
CORNELL  D311,CORNELL | D00311  
CORNELL  D312,CORNELL | D00312  
CORNELL  D313,CORNELL | D00313  
CORNELL  D414,CORNELL | D00414  
COVEL    210,COVEL   |  00210  
COVEL    218,COVEL   |  00218  
COVEL    225,COVEL   |  00225  
COVEL    229,COVEL   |  00229  
DE NEVE  P115,DE NEVE | P00115  
DE NEVE  P154,DE NEVE | P00154  
DE NEVE  P215K,DE NEVE | P00215K 
DE NEVE  P345,DE NEVE | P00345  
DE NEVE  P349,DE NEVE | P00349  
DE NEVE  P350,DE NEVE | P00350  
DE NEVE  P353B,DE NEVE | P00353B 
DENT     13041,DENT    |  13041  
DENT     23029,DENT    |  23029  
DENT     A3011,DENT    | A03011  
DENT     A3029,DENT    | A03029  
DENT     A3089,DENT    | A03089  
DENT     B148,DENT    | B00148  
DENT     B3020,DENT    | B03020  
DODD     52,DODD    |  00052  
DODD     67,DODD    |  00067  
DODD     78,DODD    |  00078  
DODD     121,DODD    |  00121  
DODD     146,DODD    |  00146  
DODD     147,DODD    |  00147  
DODD     154,DODD    |  00154  
DODD     161,DODD    |  00161  
DODD     162,DODD    |  00162  
DODD     167,DODD    |  00167  
DODD     170,DODD    |  00170  
DODD     175,DODD    |  00175  
DODD     178,DODD    |  00178  
DODD     200C,DODD    |  00200C 
DODD     220,DODD    |  00220  
DODD     232,DODD    |  00232  
DODD     247,DODD    |  00247  
DODD     248,DODD    |  00248  
DODD     275,DODD    |  00275  
DODD     325,DODD    |  00325  
DODD     374,DODD    |  00374  
DODD     399,DODD    |  00399  
ENGR IV  14118,ENGR IV |  14118  
ENGR IV  14131B,ENGR IV |  14131B 
ENGR IV  15139,ENGR IV |  15139  
ENGR IV  18132,ENGR IV |  18132  
ENGR IV  18132J,ENGR IV |  18132J 
ENGR IV  33128,ENGR IV |  33128  
ENGR IV  38138,ENGR IV |  38138  
ENGR IV  38138A,ENGR IV |  38138A 
ENGR IV  43116,ENGR IV |  43116  
ENGR IV  44110,ENGR IV |  44110  
ENGR IV  47124,ENGR IV |  47124  
ENGR IV  48121,ENGR IV |  48121  
ENGR IV  53125,ENGR IV |  53125  
ENGR IV  53133,ENGR IV |  53133  
ENGR IV  54134,ENGR IV |  54134  
ENGR IV  63134,ENGR IV |  63134  
ENGR IV  64132,ENGR IV |  64132  
ENGR V   1010,ENGR V  |  01010  
ENGR V   1230,ENGR V  |  01230  
ENGR V   2101,ENGR V  |  02101  
ENGR V   3129,ENGR V  |  03129  
ENGR V   4101,ENGR V  |  04101  
ENGR V   5101,ENGR V  |  05101  
ENGR VI  134,ENGR VI |  00134  
ENGR VI  134A,ENGR VI |  00134A 
ENGR VI  134B,ENGR VI |  00134B 
ENGR VI  ML0C,ENGR VI |ML00000C 
ENTRPNR  C301,ENTRPNR | C00301  
ENTRPNR  C303,ENTRPNR | C00303  
ENTRPNR  C314,ENTRPNR | C00314  
ENTRPNR  C315,ENTRPNR | C00315  
FACTOR   2539,FACTOR  |  02539  
FACTOR   2648,FACTOR  |  02648  
FACTOR   3148,FACTOR  |  03148  
FACTOR   3250,FACTOR  |  03250  
FACTOR   3637,FACTOR  |  03637  
FACTOR   3648,FACTOR  |  03648  
FACTOR   4145,FACTOR  |  04145  
FACTOR   4147A,FACTOR  |  04147A 
FACTOR   4650,FACTOR  |  04650  
FACTOR   4662,FACTOR  |  04662  
FACTOR   5150,FACTOR  |  05150  
FACTOR   5235,FACTOR  |  05235  
FACTOR   5242,FACTOR  |  05242  
FACTOR   5255,FACTOR  |  05255  
FACTOR   5636,FACTOR  |  05636  
FACTOR   5638,FACTOR  |  05638  
FACTOR   5642,FACTOR  |  05642  
FACTOR   A660A,FACTOR  | A00660A 
FERNALD  100,FERNALD |  00100  
FOWLER   0DR,FOWLER  |  00000DR
FOWLER   2450,FOWLER  |  02450  
FOWLER   A103B,FOWLER  | A00103B 
FOWLER   A139,FOWLER  | A00139  
FOWLER   A163,FOWLER  | A00163  
FOWLER   A222,FOWLER  | A00222  
FOWLER   A312,FOWLER  | A00312  
FOWLER   A419,FOWLER  | A00419  
FRANZ    1178,FRANZ   |  01178  
FRANZ    1229,FRANZ   |  01229  
FRANZ    1260,FRANZ   |  01260  
FRANZ    1354,FRANZ   |  01354  
FRANZ    1543,FRANZ   |  01543  
FRANZ    1571,FRANZ   |  01571  
FRANZ    2180,FRANZ   |  02180  
FRANZ    2220,FRANZ   |  02220  
FRANZ    2221,FRANZ   |  02221  
FRANZ    2227,FRANZ   |  02227  
FRANZ    2232,FRANZ   |  02232  
FRANZ    2258A,FRANZ   |  02258A 
FRANZ    2268,FRANZ   |  02268  
FRANZ    2288,FRANZ   |  02288  
FRANZ    2322,FRANZ   |  02322  
FRANZ    2329,FRANZ   |  02329  
FRANZ    2434,FRANZ   |  02434  
FRANZ    2527,FRANZ   |  02527  
FRANZ    2567E,FRANZ   |  02567E 
FRANZ    3165,FRANZ   |  03165  
FRANZ    3183,FRANZ   |  03183  
FRANZ    3221,FRANZ   |  03221  
FRANZ    3243,FRANZ   |  03243  
FRANZ    3257,FRANZ   |  03257  
FRANZ    3258,FRANZ   |  03258  
FRANZ    3290,FRANZ   |  03290  
FRANZ    3291,FRANZ   |  03291  
FRANZ    3312,FRANZ   |  03312  
FRANZ    3316,FRANZ   |  03316  
FRANZ    3351,FRANZ   |  03351  
FRANZ    3423,FRANZ   |  03423  
FRANZ    3435,FRANZ   |  03435  
FRANZ    3534,FRANZ   |  03534  
FRANZ    3538H,FRANZ   |  03538H 
FRANZ    3587,FRANZ   |  03587  
FRANZ    3621C,FRANZ   |  03621C 
FRANZ    4427,FRANZ   |  04427  
FRANZ    4441B,FRANZ   |  04441B 
FRANZ    4537,FRANZ   |  04537  
FRANZ    4574,FRANZ   |  04574  
FRANZ    5454,FRANZ   |  05454  
FRANZ    5461,FRANZ   |  05461  
FRANZ    5532B,FRANZ   |  05532B 
FRANZ    6423,FRANZ   |  06423  
FRANZ    6461,FRANZ   |  06461  
FRANZ    6550,FRANZ   |  06550  
FRANZ    7425,FRANZ   |  07425  
FRANZ    7437,FRANZ   |  07437  
FRANZ    7531,FRANZ   |  07531  
FRANZ    7626,FRANZ   |  07626  
FRANZ    8461C,FRANZ   |  08461C 
FRANZ    8581,FRANZ   |  08581  
FRANZ    A191B,FRANZ   | A00191B 
FRANZ    A225,FRANZ   | A00225  
FRANZ    A258,FRANZ   | A00258  
FRANZ    A258A,FRANZ   | A00258A 
FRANZ    A279,FRANZ   | A00279  
FRANZ    A347,FRANZ   | A00347  
FRANZ    A456,FRANZ   | A00456  
FRANZ    A461,FRANZ   | A00461  
FRANZ    A613,FRANZ   | A00613  
FRANZ    B439,FRANZ   | B00439  
FRANZ    C533,FRANZ   | C00533  
GEFFENHL 150,GEFFENHL|  00150  
GEFFENHL 207,GEFFENHL|  00207  
GEFFENHL B13,GEFFENHL| B00013  
GEOLOGY  1707,GEOLOGY |  01707  
GEOLOGY  3614,GEOLOGY |  03614  
GEOLOGY  3645,GEOLOGY |  03645  
GEOLOGY  3656,GEOLOGY |  03656  
GEOLOGY  3657,GEOLOGY |  03657  
GEOLOGY  3820,GEOLOGY |  03820  
GEOLOGY  4641,GEOLOGY |  04641  
GEOLOGY  4645,GEOLOGY |  04645  
GEOLOGY  4653,GEOLOGY |  04653  
GEOLOGY  4660,GEOLOGY |  04660  
GEOLOGY  4677,GEOLOGY |  04677  
GEOLOGY  4691,GEOLOGY |  04691  
GEOLOGY  5638,GEOLOGY |  05638  
GEOLOGY  5644,GEOLOGY |  05644  
GEOLOGY  5655,GEOLOGY |  05655  
GEOLOGY  5681,GEOLOGY |  05681  
GEOLOGY  6704,GEOLOGY |  06704  
GEOLOGY  B707,GEOLOGY | B00707  
GOLD     B117,GOLD    | B00117  
GOLD     B208X,GOLD    | B00208X 
GOLD     B301,GOLD    | B00301  
GOLD     B308,GOLD    | B00308  
