text,value
MOORE    3026,MOORE   |  03026  
MOORE    3027,MOORE   |  03027  
MOORE    3030,MOORE   |  03030  
MOORE    3034,MOORE   |  03034  
MOORE    3120,MOORE   |  03120  
MOORE    3140,MOORE   |  03140  
MOORE    3320,MOORE   |  03320  
MOORE    3340,MOORE   |  03340  
MP 200   B265,MP 200  | B00265  
MP 300   1208,MP 300  |  01208  
MP 300   3200,MP 300  |  03200  
MP 300   B500,MP 300  | B00500  
MS       1000B,MS      |  01000B 
MS       2000,MS      |  02000  
MS       3915A,MS      |  03915A 
MS       3915D,MS      |  03915D 
MS       3915G,MS      |  03915G 
MS       3915H,MS      |  03915H 
MS       3974,MS      |  03974  
MS       4000A,MS      |  04000A 
MS       4202,MS      |  04202  
MS       5117,MS      |  05117  
MS       5118,MS      |  05118  
MS       5127,MS      |  05127  
MS       5128,MS      |  05128  
MS       5137,MS      |  05137  
MS       5138,MS      |  05138  
MS       5147,MS      |  05147  
MS       5148,MS      |  05148  
MS       5200,MS      |  05200  
MS       5203,MS      |  05203  
MS       5217,MS      |  05217  
MS       5225,MS      |  05225  
MS       5233,MS      |  05233  
MS       6118,MS      |  06118  
MS       6201,MS      |  06201  
MS       6221,MS      |  06221  
MS       6229,MS      |  06229  
MS       6627,MS      |  06627  
MS       7101,MS      |  07101  
MS       7121,MS      |  07121  
MS       7124,MS      |  07124  
MS       7124A,MS      |  07124A 
MS       7124B,MS      |  07124B 
MS       7608,MS      |  07608  
MS       8361,MS      |  08361  
MS       8941,MS      |  08941  
MS       8964,MS      |  08964  
MS       8983,MS      |  08983  
MURPHY   1215,MURPHY  |  01215  
MURPHY   2121,MURPHY  |  02121  
MURPHY   A316,MURPHY  | A00316  
MURPHY   A334,MURPHY  | A00334  
NEUROSC  368,NEUROSC |  00368  
NEUROSC  27200C,NEUROSC |  27200C 
NWAUD    101A,NWAUD   |  00101A 
OHRC     301,OHRC    |  00301  
OHRC     383,OHRC    |  00383  
OHRC     401,OHRC    |  00401  
OHRC     501,OHRC    |  00501  
ONLINE   0AS,ONLINE  |  00000AS
ONLINE   0LA,ONLINE  |  00000LA
ONLINE   0RE,ONLINE  |  00000RE
ONLINE   IL0TI,ONLINE  |IL00000TI
OSTIN    110A,OSTIN   |  00110A 
OSTIN    165,OSTIN   |  00165  
OSTIN    B105,OSTIN   | B00105  
PAB      1425,PAB     |  01425  
PAB      1434A,PAB     |  01434A 
PAB      1749,PAB     |  01749  
PAB      2434,PAB     |  02434  
PAB      2748,PAB     |  02748  
PAB      3326,PAB     |  03326  
PAB      3735,PAB     |  03735  
PAB      4330,PAB     |  04330  
PAB      4708,PAB     |  04708  
PAB      4740,PAB     |  04740  
PERLOFF  1102,PERLOFF |  01102  
PERLOFF  1118A,PERLOFF |  01118A 
PERLOFF  1209B,PERLOFF |  01209B 
PERLOFF  1220,PERLOFF |  01220  
PERLOFF  1224,PERLOFF |  01224  
PERLOFF  1243A,PERLOFF |  01243A 
PERLOFF  1243B,PERLOFF |  01243B 
PERLOFF  1243C,PERLOFF |  01243C 
PERLOFF  B309,PERLOFF | B00309  
PERLOFF  B320,PERLOFF | B00320  
POWELL   186,POWELL  |  00186  
POWELL   228,POWELL  |  00228  
POWELL   238,POWELL  |  00238  
POWELL   270,POWELL  |  00270  
POWELL   285,POWELL  |  00285  
POWELL   307,POWELL  |  00307  
POWELL   320,POWELL  |  00320  
POWELL   320B,POWELL  |  00320B 
POWELL   330,POWELL  |  00330  
PRITZKER 1521,PRITZKER|  01521  
PRITZKER 1531,PRITZKER|  01531  
PRITZKER 2506,PRITZKER|  02506  
PRITZKER 2531,PRITZKER|  02531  
PRITZKER 2541,PRITZKER|  02541  
PRITZKER 3509,PRITZKER|  03509  
PRITZKER 3513,PRITZKER|  03513  
PRITZKER 3517,PRITZKER|  03517  
PRITZKER 3535,PRITZKER|  03535  
PRITZKER 3571,PRITZKER|  03571  
PRITZKER 3572,PRITZKER|  03572  
PRITZKER 3581,PRITZKER|  03581  
PRITZKER 4513,PRITZKER|  04513  
PRITZKER 5501,PRITZKER|  05501  
PRITZKER 5505,PRITZKER|  05505  
PRITZKER 5509,PRITZKER|  05509  
PRITZKER 5513,PRITZKER|  05513  
PRITZKER 6513,PRITZKER|  06513  
PRITZKER 7513,PRITZKER|  07513  
PRITZKER 7567,PRITZKER|  07567  
PRITZKER 8581,PRITZKER|  08581  
PUB AFF  1015A,PUB AFF |  01015A 
PUB AFF  1023,PUB AFF |  01023  
PUB AFF  1040,PUB AFF |  01040  
PUB AFF  1222,PUB AFF |  01222  
PUB AFF  1234,PUB AFF |  01234  
PUB AFF  1246,PUB AFF |  01246  
PUB AFF  1256,PUB AFF |  01256  
PUB AFF  1264,PUB AFF |  01264  
PUB AFF  1270,PUB AFF |  01270  
PUB AFF  1278,PUB AFF |  01278  
PUB AFF  1284,PUB AFF |  01284  
PUB AFF  1323,PUB AFF |  01323  
PUB AFF  1329,PUB AFF |  01329  
PUB AFF  1337,PUB AFF |  01337  
PUB AFF  1343,PUB AFF |  01343  
PUB AFF  1400,PUB AFF |  01400  
PUB AFF  2035B,PUB AFF |  02035B 
PUB AFF  2035H,PUB AFF |  02035H 
PUB AFF  2214,PUB AFF |  02214  
PUB AFF  2232,PUB AFF |  02232  
PUB AFF  2238,PUB AFF |  02238  
PUB AFF  2242,PUB AFF |  02242  
PUB AFF  2250,PUB AFF |  02250  
PUB AFF  2270,PUB AFF |  02270  
PUB AFF  2278,PUB AFF |  02278  
PUB AFF  2284,PUB AFF |  02284  
PUB AFF  2292,PUB AFF |  02292  
PUB AFF  2317,PUB AFF |  02317  
PUB AFF  2319,PUB AFF |  02319  
PUB AFF  2325,PUB AFF |  02325  
PUB AFF  2333,PUB AFF |  02333  
PUB AFF  2343,PUB AFF |  02343  
PUB AFF  2355,PUB AFF |  02355  
PUB AFF  2400,PUB AFF |  02400  
PUB AFF  2400A,PUB AFF |  02400A 
PUB AFF  2500,PUB AFF |  02500  
PUB AFF  3320A,PUB AFF |  03320A 
PUB AFF  3343,PUB AFF |  03343  
PUB AFF  4240,PUB AFF |  04240  
PUB AFF  4240A,PUB AFF |  04240A 
PUB AFF  4320A,PUB AFF |  04320A 
PUB AFF  4320B,PUB AFF |  04320B 
PUB AFF  4355,PUB AFF |  04355  
PUB AFF  4357,PUB AFF |  04357  
PUB AFF  4371,PUB AFF |  04371  
PUB AFF  4375,PUB AFF |  04375  
PUB AFF  5273,PUB AFF |  05273  
PUB AFF  5344,PUB AFF |  05344  
PUB AFF  5391,PUB AFF |  05391  
PUB AFF  6223,PUB AFF |  06223  
PUB AFF  6232,PUB AFF |  06232  
PUB AFF  6274,PUB AFF |  06274  
PUB AFF  6362,PUB AFF |  06362  
PUB HLT  31262,PUB HLT |  31262  
PUB HLT  36070A,PUB HLT |  36070A 
PUB HLT  41235,PUB HLT |  41235  
PUB HLT  41268,PUB HLT |  41268  
PUB HLT  51279,PUB HLT |  51279  
PUB HLT  56059,PUB HLT |  56059  
PUB HLT  61235,PUB HLT |  61235  
PUB HLT  61262,PUB HLT |  61262  
PUB HLT  61269,PUB HLT |  61269  
PUB HLT  71257,PUB HLT |  71257  
PUB HLT  A1125,PUB HLT | A01125  
PUB HLT  A1241,PUB HLT | A01241  
PUB HLT  A1279,PUB HLT | A01279  
PUB HLT  A2125,PUB HLT | A02125  
PVUB     1400K,PVUB    |  01400K 
PVUB     2339B,PVUB    |  02339B 
REED     B106,REED    | B00106  
REED     C128,REED    | C00128  
RIEBER   115A,RIEBER  |  00115A 
ROLFE    1200,ROLFE   |  01200  
ROLFE    1301,ROLFE   |  01301  
ROLFE    2117,ROLFE   |  02117  
ROLFE    2118,ROLFE   |  02118  
ROLFE    2125,ROLFE   |  02125  
ROLFE    2201,ROLFE   |  02201  
ROLFE    2303,ROLFE   |  02303  
ROLFE    2310,ROLFE   |  02310  
ROLFE    2325,ROLFE   |  02325  
ROLFE    3105,ROLFE   |  03105  
ROLFE    3108,ROLFE   |  03108  
ROLFE    3115,ROLFE   |  03115  
ROLFE    3116,ROLFE   |  03116  
ROLFE    3120,ROLFE   |  03120  
ROLFE    3121,ROLFE   |  03121  
ROLFE    3126,ROLFE   |  03126  
ROLFE    3129,ROLFE   |  03129  
ROLFE    3134,ROLFE   |  03134  
ROLFE    3135,ROLFE   |  03135  
ROLFE    4302,ROLFE   |  04302  
ROLFE    4330,ROLFE   |  04330  
ROSNFLD  E214,ROSNFLD | E00214  
ROYCE    148,ROYCE   |  00148  
ROYCE    150,ROYCE   |  00150  
ROYCE    152,ROYCE   |  00152  
ROYCE    154,ROYCE   |  00154  
ROYCE    156,ROYCE   |  00156  
ROYCE    160,ROYCE   |  00160  
ROYCE    162,ROYCE   |  00162  
ROYCE    164,ROYCE   |  00164  
ROYCE    166,ROYCE   |  00166  
ROYCE    190,ROYCE   |  00190  
ROYCE    236,ROYCE   |  00236  
ROYCE    246B,ROYCE   |  00246B 
ROYCE    268B,ROYCE   |  00268B 
ROYCE    276B,ROYCE   |  00276B 
ROYCE    280A,ROYCE   |  00280A 
ROYCE    306,ROYCE   |  00306  
ROYCE    332,ROYCE   |  00332  
ROYCE    332C,ROYCE   |  00332C 
ROYCE    334C,ROYCE   |  00334C 
ROYCE    342,ROYCE   |  00342  
ROYCE    362,ROYCE   |  00362  
SAC      120P,SAC     |  00120P 
SAC      215,SAC     |  00215  
SAC      304,SAC     |  00304  
SAC      B1,SAC     | B00001  
SAC      B2,SAC     | B00002  
SAC      B3,SAC     | B00003  
SAC      B5,SAC     | B00005  
SAC      B20B,SAC     | B00020B 
SEMEL    17364,SEMEL   |  17364  
SEMEL    17416,SEMEL   |  17416  
SEMEL    18250,SEMEL   |  18250  
SEMEL    27418,SEMEL   |  27418  
SEMEL    28181,SEMEL   |  28181  
SEMEL    28221,SEMEL   |  28221  
SEMEL    37413,SEMEL   |  37413  
SEMEL    37415,SEMEL   |  37415  
SEMEL    37417,SEMEL   |  37417  
SEMEL    67415,SEMEL   |  67415  
SEMEL    68238,SEMEL   |  68238  
SEMEL    78233,SEMEL   |  78233  
SEMEL    A8221,SEMEL   | A08221  
SEMEL    B8225,SEMEL   | B08225  
SEMEL    C8177,SEMEL   | C08177  
SEMEL    C8183H,SEMEL   | C08183H 
SEMEL    C8639,SEMEL   | C08639  
SLICHTR  2834,SLICHTR |  02834  
SLICHTR  2870,SLICHTR |  02870  
SLICHTR  3871,SLICHTR |  03871  
SMB      1100,SMB     |  01100  
SMB      1102F,SMB     |  01102F 
SMB      1102M,SMB     |  01102M 
SMB      1200,SMB     |  01200  
SMB      1230,SMB     |  01230  
SMB      1325,SMB     |  01325  
SMB      1343,SMB     |  01343  
SMB      1344,SMB     |  01344  
SMB      1345,SMB     |  01345  
SMB      1354,SMB     |  01354  
SMB      1402,SMB     |  01402  
SMB      1420,SMB     |  01420  
SMB      1421,SMB     |  01421  
SMB      1439,SMB     |  01439  
SMB      1440,SMB     |  01440  
SMB      1535,SMB     |  01535  
SMB      1630A,SMB     |  01630A 
SMB      1659,SMB     |  01659  
SMB      1818,SMB     |  01818  
SMB      1846,SMB     |  01846  
SMB      2449,SMB     |  02449  
SMB      2646,SMB     |  02646  
SMB      B425,SMB     | B00425  
SMB      B429,SMB     | B00429  
SMB      B431,SMB     | B00431  
SMB      B544,SMB     | B00544  
SMB      B648,SMB     | B00648  
SMB      B665A,SMB     | B00665A 
SMB      B674,SMB     | B00674  
SMB      B686,SMB     | B00686  
SPROUL   110A,SPROUL  |  00110A 
TERASKI  1100,TERASKI |  01100  
WASSRMN  437,WASSRMN |  00437  
WGYOUNG  1033,WGYOUNG |  01033  
WGYOUNG  1039,WGYOUNG |  01039  
WGYOUNG  1044,WGYOUNG |  01044  
WGYOUNG  1049,WGYOUNG |  01049  
WGYOUNG  1067,WGYOUNG |  01067  
WGYOUNG  1077,WGYOUNG |  01077  
WGYOUNG  1089,WGYOUNG |  01089  
WGYOUNG  1096,WGYOUNG |  01096  
WGYOUNG  1110,WGYOUNG |  01110  
WGYOUNG  1111,WGYOUNG |  01111  
WGYOUNG  1336,WGYOUNG |  01336  
WGYOUNG  1337,WGYOUNG |  01337  
WGYOUNG  1340,WGYOUNG |  01340  
WGYOUNG  1343,WGYOUNG |  01343  
WGYOUNG  1370,WGYOUNG |  01370  
WGYOUNG  1379,WGYOUNG |  01379  
WGYOUNG  2033,WGYOUNG |  02033  
WGYOUNG  2050,WGYOUNG |  02050  
WGYOUNG  2200,WGYOUNG |  02200  
WGYOUNG  2336,WGYOUNG |  02336  
WGYOUNG  2337,WGYOUNG |  02337  
WGYOUNG  2343,WGYOUNG |  02343  
WGYOUNG  2370,WGYOUNG |  02370  
WGYOUNG  2379,WGYOUNG |  02379  
WGYOUNG  3047,WGYOUNG |  03047  
WGYOUNG  3064,WGYOUNG |  03064  
WGYOUNG  3069,WGYOUNG |  03069  
WGYOUNG  3085B,WGYOUNG |  03085B 
WGYOUNG  3096,WGYOUNG |  03096  
WGYOUNG  3336,WGYOUNG |  03336  
WGYOUNG  3337,WGYOUNG |  03337  
WGYOUNG  3340,WGYOUNG |  03340  
WGYOUNG  3370,WGYOUNG |  03370  
WGYOUNG  4067,WGYOUNG |  04067  
WGYOUNG  4085F,WGYOUNG |  04085F 
WGYOUNG  4216,WGYOUNG |  04216  
WGYOUNG  4232,WGYOUNG |  04232  
WGYOUNG  4335,WGYOUNG |  04335  
WGYOUNG  4336,WGYOUNG |  04336  
WGYOUNG  4340,WGYOUNG |  04340  
WGYOUNG  4341,WGYOUNG |  04341  
WGYOUNG  4346,WGYOUNG |  04346  
WGYOUNG  4350,WGYOUNG |  04350  
WGYOUNG  5076,WGYOUNG |  05076  
WGYOUNG  6072,WGYOUNG |  06072  
WGYOUNG  6073,WGYOUNG |  06073  
WGYOUNG  6085,WGYOUNG |  06085  
WGYOUNG  6086,WGYOUNG |  06086  
WGYOUNG  6096,WGYOUNG |  06096  
WGYOUNG  6110,WGYOUNG |  06110  
WGYOUNG  CS24,WGYOUNG |CS00024  
WGYOUNG  CS50,WGYOUNG |CS00050  
WGYOUNG  CS76,WGYOUNG |CS00076  
WOODEN   1402,WOODEN  |  01402  
WOODEN   2320,WOODEN  |  02320  
YRL      11360,YRL     |  11360  
YRL      11630F,YRL     |  11630F 
YRL      11630L,YRL     |  11630L 
YRL      23167,YRL     |  23167  
YRL      A1713A,YRL     | A01713A 
