title,start,end,lecture,enrollment,enroll_total,enroll_capacity,mult_list_flag,multi_header,multi_list_classes,meet_bdg,meet_rm,Subj_Area,Days_in_week,strt_time,stop_time,fac_capacity,start_date
COMM    141     ,2014-11-12T11:00:00,2014-11-12T11:50:00,DIS 1E,Enr: 23 of 25,23,25,n,,[],DODD    ,  00161  ,COMM   ,W      ,11:00:00,11:50:00,106,9/25/1997 12:00:00 AM
COM SCI 31      ,2014-11-14T12:00:00,2014-11-14T13:50:00,DIS 1A,Enr: 50 of 50,50,50,n,,[],DODD    ,  00161  ,COM SCI,F      ,12:00:00,13:50:00,106,9/25/1997 12:00:00 AM
CLASSIC M125    ,2014-11-11T12:30:00,2014-11-11T13:45:00,LEC 1,Enr: 61 of 100,35,75,y,Multiple-Listed Class,"['Classics (CLASSIC) M125 - Invention of Democracy', 'Political Science (POL SCI) M112B - Invention of Democracy']",DODD    ,  00161  ,CLASSIC,TR     ,12:30:00,13:45:00,106,9/25/1997 12:00:00 AM
CLASSIC M125    ,2014-11-13T12:30:00,2014-11-13T13:45:00,LEC 1,Enr: 61 of 100,35,75,y,Multiple-Listed Class,"['Classics (CLASSIC) M125 - Invention of Democracy', 'Political Science (POL SCI) M112B - Invention of Democracy']",DODD    ,  00161  ,CLASSIC,TR     ,12:30:00,13:45:00,106,9/25/1997 12:00:00 AM
PUB AFF 134     ,2014-11-10T12:30:00,2014-11-10T13:45:00,LEC 1,Enr: 79 of 80,79,80,n,,[],DODD    ,  00161  ,PUB AFF,MW     ,12:30:00,13:45:00,106,9/25/1997 12:00:00 AM
PUB AFF 134     ,2014-11-12T12:30:00,2014-11-12T13:45:00,LEC 1,Enr: 79 of 80,79,80,n,,[],DODD    ,  00161  ,PUB AFF,MW     ,12:30:00,13:45:00,106,9/25/1997 12:00:00 AM
ENVIRON C159    ,2014-11-11T14:00:00,2014-11-11T15:15:00,LEC 1,Enr: 79 of 100,74,90,n,,[],DODD    ,  00161  ,ENVIRON,TR     ,14:00:00,15:15:00,106,9/25/1997 12:00:00 AM
ENVIRON C159    ,2014-11-13T14:00:00,2014-11-13T15:15:00,LEC 1,Enr: 79 of 100,74,90,n,,[],DODD    ,  00161  ,ENVIRON,TR     ,14:00:00,15:15:00,106,9/25/1997 12:00:00 AM
STATS   100C    ,2014-11-10T14:00:00,2014-11-10T14:50:00,LEC 3,Enr: 60 of 0,60,0,n,,[],DODD    ,  00161  ,STATS  ,MWF    ,14:00:00,14:50:00,106,9/25/1997 12:00:00 AM
STATS   100C    ,2014-11-12T14:00:00,2014-11-12T14:50:00,LEC 3,Enr: 60 of 0,60,0,n,,[],DODD    ,  00161  ,STATS  ,MWF    ,14:00:00,14:50:00,106,9/25/1997 12:00:00 AM
STATS   100C    ,2014-11-14T14:00:00,2014-11-14T14:50:00,LEC 3,Enr: 60 of 0,60,0,n,,[],DODD    ,  00161  ,STATS  ,MWF    ,14:00:00,14:50:00,106,9/25/1997 12:00:00 AM
HIST    111C    ,2014-11-10T15:00:00,2014-11-10T15:50:00,LEC 1,Enr: 76 of 80,76,80,n,,[],DODD    ,  00161  ,HIST   ,MWF    ,15:00:00,15:50:00,106,9/25/1997 12:00:00 AM
HIST    111C    ,2014-11-12T15:00:00,2014-11-12T15:50:00,LEC 1,Enr: 76 of 80,76,80,n,,[],DODD    ,  00161  ,HIST   ,MWF    ,15:00:00,15:50:00,106,9/25/1997 12:00:00 AM
HIST    111C    ,2014-11-14T15:00:00,2014-11-14T15:50:00,LEC 1,Enr: 76 of 80,76,80,n,,[],DODD    ,  00161  ,HIST   ,MWF    ,15:00:00,15:50:00,106,9/25/1997 12:00:00 AM
STATS   101A    ,2014-11-11T15:30:00,2014-11-11T16:45:00,LEC 1,Enr: 88 of 0,88,0,n,,[],DODD    ,  00161  ,STATS  ,TR     ,15:30:00,16:45:00,106,9/25/1997 12:00:00 AM
STATS   101A    ,2014-11-13T15:30:00,2014-11-13T16:45:00,LEC 1,Enr: 88 of 0,88,0,n,,[],DODD    ,  00161  ,STATS  ,TR     ,15:30:00,16:45:00,106,9/25/1997 12:00:00 AM
CH ENGR 108B    ,2014-11-10T16:00:00,2014-11-10T17:50:00,LEC 1,Enr: 76 of 90,76,90,n,,[],DODD    ,  00161  ,CH ENGR,MW     ,16:00:00,17:50:00,106,9/25/1997 12:00:00 AM
CH ENGR 108B    ,2014-11-12T16:00:00,2014-11-12T17:50:00,LEC 1,Enr: 76 of 90,76,90,n,,[],DODD    ,  00161  ,CH ENGR,MW     ,16:00:00,17:50:00,106,9/25/1997 12:00:00 AM
INF STD 10      ,2014-11-11T17:00:00,2014-11-11T18:50:00,LEC 1,Enr: 79 of 80,79,80,n,,[],DODD    ,  00161  ,INF STD,TR     ,17:00:00,18:50:00,106,9/25/1997 12:00:00 AM
INF STD 10      ,2014-11-13T17:00:00,2014-11-13T18:50:00,LEC 1,Enr: 79 of 80,79,80,n,,[],DODD    ,  00161  ,INF STD,TR     ,17:00:00,18:50:00,106,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-11T09:00:00,2014-11-11T09:50:00,DIS 1A,Enr: 11 of 16,11,16,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,09:00:00,09:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-13T09:00:00,2014-11-13T09:50:00,DIS 1A,Enr: 11 of 16,11,16,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,09:00:00,09:50:00,32,9/25/1997 12:00:00 AM
POL SCI M183    ,2014-11-14T09:00:00,2014-11-14T09:50:00,LAB 1D,Enr: 18 of 20,10,10,y,Multiple-Listed Class,"['Political Science (POL SCI) M183 - Experiments in Racial and Ethnic Politics', 'Psychology (PSYCH) M136C - Experiments in Racial and Ethnic Politics']",DODD    ,  00162  ,POL SCI,F      ,09:00:00,09:50:00,32,9/25/1997 12:00:00 AM
SPAN    3       ,2014-11-10T09:30:00,2014-11-10T10:45:00,LEC 3,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,SPAN   ,MW     ,09:30:00,10:45:00,32,9/25/1997 12:00:00 AM
SPAN    3       ,2014-11-12T09:30:00,2014-11-12T10:45:00,LEC 3,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,SPAN   ,MW     ,09:30:00,10:45:00,32,9/25/1997 12:00:00 AM
EC ENGR 141     ,2014-11-14T10:00:00,2014-11-14T10:50:00,DIS 1B,Enr: 13 of 27,13,27,n,,[],DODD    ,  00162  ,EC ENGR,F      ,10:00:00,10:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-11T10:00:00,2014-11-11T10:50:00,DIS 1B,Enr: 16 of 16,16,16,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,10:00:00,10:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-13T10:00:00,2014-11-13T10:50:00,DIS 1B,Enr: 16 of 16,16,16,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,10:00:00,10:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-10T11:00:00,2014-11-10T11:50:00,LEC 1,Enr: 27 of 32,27,32,n,,[],DODD    ,  00162  ,LATIN  ,MWF    ,11:00:00,11:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-12T11:00:00,2014-11-12T11:50:00,LEC 1,Enr: 27 of 32,27,32,n,,[],DODD    ,  00162  ,LATIN  ,MWF    ,11:00:00,11:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-14T11:00:00,2014-11-14T11:50:00,LEC 1,Enr: 27 of 32,27,32,n,,[],DODD    ,  00162  ,LATIN  ,MWF    ,11:00:00,11:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-11T11:00:00,2014-11-11T12:15:00,LEC 2,Enr: 19 of 20,19,20,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,11:00:00,12:15:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-13T11:00:00,2014-11-13T12:15:00,LEC 2,Enr: 19 of 20,19,20,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,11:00:00,12:15:00,32,9/25/1997 12:00:00 AM
CH ENGR 102B    ,2014-11-14T12:00:00,2014-11-14T12:50:00,DIS 1C,Enr: 30 of 30,30,30,n,,[],DODD    ,  00162  ,CH ENGR,F      ,12:00:00,12:50:00,32,9/25/1997 12:00:00 AM
CLASSIC 30      ,2014-11-12T12:00:00,2014-11-12T12:50:00,DIS 1I,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,CLASSIC,W      ,12:00:00,12:50:00,32,9/25/1997 12:00:00 AM
HIST    22      ,2014-11-10T12:00:00,2014-11-10T12:50:00,DIS 1A,Enr: 20 of 20,20,20,n,,[],DODD    ,  00162  ,HIST   ,M      ,12:00:00,12:50:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-11T12:30:00,2014-11-11T13:45:00,LEC 3,Enr: 20 of 20,20,20,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,12:30:00,13:45:00,32,9/25/1997 12:00:00 AM
LATIN   3       ,2014-11-13T12:30:00,2014-11-13T13:45:00,LEC 3,Enr: 20 of 20,20,20,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,12:30:00,13:45:00,32,9/25/1997 12:00:00 AM
CLASSIC 30      ,2014-11-12T13:00:00,2014-11-12T13:50:00,DIS 1L,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,CLASSIC,W      ,13:00:00,13:50:00,32,9/25/1997 12:00:00 AM
EC ENGR 236C    ,2014-11-14T13:00:00,2014-11-14T13:50:00,DIS 1B,Enr: 0 of 0,0,0,n,,[],DODD    ,  00162  ,EC ENGR,F      ,13:00:00,13:50:00,32,9/25/1997 12:00:00 AM
LING    252A    ,2014-11-10T13:00:00,2014-11-10T15:50:00,SEM 1,Enr: 1 of 30,0,15,n,,[],DODD    ,  00162  ,LING   ,M      ,13:00:00,15:50:00,32,9/25/1997 12:00:00 AM
CLASSIC 30      ,2014-11-12T14:00:00,2014-11-12T14:50:00,DIS 1M,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,CLASSIC,W      ,14:00:00,14:50:00,32,9/25/1997 12:00:00 AM
EC ENGR 121B    ,2014-11-14T14:00:00,2014-11-14T14:50:00,DIS 1E,Enr: 0 of 0,0,0,n,,[],DODD    ,  00162  ,EC ENGR,F      ,14:00:00,14:50:00,32,9/25/1997 12:00:00 AM
GREEK   106     ,2014-11-11T14:00:00,2014-11-11T15:15:00,LEC 1,Enr: 3 of 15,3,15,n,,[],DODD    ,  00162  ,GREEK  ,TR     ,14:00:00,15:15:00,32,9/25/1997 12:00:00 AM
GREEK   106     ,2014-11-13T14:00:00,2014-11-13T15:15:00,LEC 1,Enr: 3 of 15,3,15,n,,[],DODD    ,  00162  ,GREEK  ,TR     ,14:00:00,15:15:00,32,9/25/1997 12:00:00 AM
CH ENGR 101C    ,2014-11-14T15:00:00,2014-11-14T15:50:00,DIS 1A,Enr: 30 of 30,30,30,n,,[],DODD    ,  00162  ,CH ENGR,F      ,15:00:00,15:50:00,32,9/25/1997 12:00:00 AM
COMM    141     ,2014-11-12T15:00:00,2014-11-12T15:50:00,DIS 1C,Enr: 25 of 25,25,25,n,,[],DODD    ,  00162  ,COMM   ,W      ,15:00:00,15:50:00,32,9/25/1997 12:00:00 AM
LATIN   119A    ,2014-11-11T15:30:00,2014-11-11T16:45:00,LEC 1,Enr: 5 of 15,5,15,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,15:30:00,16:45:00,32,9/25/1997 12:00:00 AM
LATIN   119A    ,2014-11-13T15:30:00,2014-11-13T16:45:00,LEC 1,Enr: 5 of 15,5,15,n,,[],DODD    ,  00162  ,LATIN  ,TR     ,15:30:00,16:45:00,32,9/25/1997 12:00:00 AM
SPAN    150     ,2014-11-10T16:00:00,2014-11-10T17:50:00,LEC 3,Enr: 18 of 30,18,30,n,,[],DODD    ,  00162  ,SPAN   ,MW     ,16:00:00,17:50:00,32,9/25/1997 12:00:00 AM
SPAN    150     ,2014-11-12T16:00:00,2014-11-12T17:50:00,LEC 3,Enr: 18 of 30,18,30,n,,[],DODD    ,  00162  ,SPAN   ,MW     ,16:00:00,17:50:00,32,9/25/1997 12:00:00 AM
CLASSIC M125    ,2014-11-13T17:00:00,2014-11-13T17:50:00,DIS 1D,Enr: 9 of 25,2,18,y,Multiple-Listed Class,"['Classics (CLASSIC) M125 - Invention of Democracy', 'Political Science (POL SCI) M112B - Invention of Democracy']",DODD    ,  00162  ,CLASSIC,R      ,17:00:00,17:50:00,32,9/25/1997 12:00:00 AM
HIST    13C     ,2014-11-11T17:00:00,2014-11-11T17:50:00,DIS 1A,Enr: 20 of 20,20,20,n,,[],DODD    ,  00162  ,HIST   ,T      ,17:00:00,17:50:00,32,9/25/1997 12:00:00 AM
POL SCI M183    ,2014-11-13T18:00:00,2014-11-13T18:50:00,LAB 1C,Enr: 20 of 20,10,10,y,Multiple-Listed Class,"['Political Science (POL SCI) M183 - Experiments in Racial and Ethnic Politics', 'Psychology (PSYCH) M136C - Experiments in Racial and Ethnic Politics']",DODD    ,  00162  ,POL SCI,R      ,18:00:00,18:50:00,32,9/25/1997 12:00:00 AM
CHEM    14B     ,2014-11-13T09:00:00,2014-11-13T09:50:00,DIS 2G,Enr: 26 of 26,26,26,n,,[],DODD    ,  00167  ,CHEM   ,R      ,09:00:00,09:50:00,58,1/3/2018 12:00:00 AM
CHEM    14B     ,2014-11-14T09:00:00,2014-11-14T09:50:00,DIS 2H,Enr: 26 of 26,26,26,n,,[],DODD    ,  00167  ,CHEM   ,F      ,09:00:00,09:50:00,58,1/3/2018 12:00:00 AM
EE BIOL C119B   ,2014-11-10T09:30:00,2014-11-10T10:45:00,LEC 1,Enr: 27 of 40,17,30,n,,[],DODD    ,  00167  ,EE BIOL,MW     ,09:30:00,10:45:00,58,1/3/2018 12:00:00 AM
EE BIOL C119B   ,2014-11-12T09:30:00,2014-11-12T10:45:00,LEC 1,Enr: 27 of 40,17,30,n,,[],DODD    ,  00167  ,EE BIOL,MW     ,09:30:00,10:45:00,58,1/3/2018 12:00:00 AM
ASIAN   M20     ,2014-11-14T10:00:00,2014-11-14T10:50:00,DIS 1I,Enr: 8 of 8,4,4,y,Multiple-Listed Class,"['Asian M20 - Visible Language: Study of Writing', 'Indo-European Studies (I E STD) M20 - Visible Language: Study of Writing', 'Near Eastern Languages (NR EAST) M20 - Visible Language: Study of Writing', 'Southeast Asian (SEASIAN) M20 - Visible Language: Study of Writing', 'Slavic (SLAVC) M20 - Visible Language: Study of Writing']",DODD    ,  00167  ,ASIAN  ,F      ,10:00:00,10:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 188     ,2014-11-11T10:00:00,2014-11-11T11:50:00,LEC 2,Enr: 48 of 48,48,48,n,,[],DODD    ,  00167  ,EC ENGR,TR     ,10:00:00,11:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 188     ,2014-11-13T10:00:00,2014-11-13T11:50:00,LEC 2,Enr: 48 of 48,48,48,n,,[],DODD    ,  00167  ,EC ENGR,TR     ,10:00:00,11:50:00,58,1/3/2018 12:00:00 AM
MGMT    1A      ,2014-11-10T11:00:00,2014-11-10T11:50:00,DIS 2A,Enr: 36 of 36,36,36,n,,[],DODD    ,  00167  ,MGMT   ,M      ,11:00:00,11:50:00,58,1/3/2018 12:00:00 AM
PHYSICS 1CH     ,2014-11-12T11:00:00,2014-11-12T11:50:00,DIS 1A,Enr: 25 of 48,25,48,n,,[],DODD    ,  00167  ,PHYSICS,W      ,11:00:00,11:50:00,58,1/3/2018 12:00:00 AM
CLASSIC 51B     ,2014-11-13T12:00:00,2014-11-13T12:50:00,DIS 1F,Enr: 25 of 25,25,25,n,,[],DODD    ,  00167  ,CLASSIC,R      ,12:00:00,12:50:00,58,1/3/2018 12:00:00 AM
COM SCI 32      ,2014-11-14T12:00:00,2014-11-14T13:50:00,DIS 1G,Enr: 50 of 50,50,50,n,,[],DODD    ,  00167  ,COM SCI,F      ,12:00:00,13:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 176     ,2014-11-10T12:00:00,2014-11-10T13:50:00,LEC 1,Enr: 23 of 25,23,25,n,,[],DODD    ,  00167  ,EC ENGR,MW     ,12:00:00,13:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 176     ,2014-11-12T12:00:00,2014-11-12T13:50:00,LEC 1,Enr: 23 of 25,23,25,n,,[],DODD    ,  00167  ,EC ENGR,MW     ,12:00:00,13:50:00,58,1/3/2018 12:00:00 AM
ECON    11      ,2014-11-11T12:00:00,2014-11-11T12:50:00,DIS 1A,Enr: 32 of 32,32,32,n,,[],DODD    ,  00167  ,ECON   ,T      ,12:00:00,12:50:00,58,1/3/2018 12:00:00 AM
COMM    101     ,2014-11-11T13:00:00,2014-11-11T13:50:00,DIS 1A,Enr: 25 of 25,25,25,n,,[],DODD    ,  00167  ,COMM   ,T      ,13:00:00,13:50:00,58,1/3/2018 12:00:00 AM
MGMT    1A      ,2014-11-13T13:00:00,2014-11-13T13:50:00,DIS 2F,Enr: 35 of 35,35,35,n,,[],DODD    ,  00167  ,MGMT   ,R      ,13:00:00,13:50:00,58,1/3/2018 12:00:00 AM
COM SCI 31      ,2014-11-14T14:00:00,2014-11-14T15:50:00,DIS 1E,Enr: 50 of 50,50,50,n,,[],DODD    ,  00167  ,COM SCI,F      ,14:00:00,15:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 128     ,2014-11-10T14:00:00,2014-11-10T15:50:00,LEC 1,Enr: 43 of 58,43,58,n,,[],DODD    ,  00167  ,EC ENGR,MW     ,14:00:00,15:50:00,58,1/3/2018 12:00:00 AM
EC ENGR 128     ,2014-11-12T14:00:00,2014-11-12T15:50:00,LEC 1,Enr: 43 of 58,43,58,n,,[],DODD    ,  00167  ,EC ENGR,MW     ,14:00:00,15:50:00,58,1/3/2018 12:00:00 AM
GLB HLT 140     ,2014-11-13T14:00:00,2014-11-13T16:50:00,LEC 1,Enr: 25 of 40,25,40,n,,[],DODD    ,  00167  ,GLB HLT,R      ,14:00:00,16:50:00,58,1/3/2018 12:00:00 AM
ECON    596     ,2014-11-11T15:30:00,2014-11-11T16:55:00,TUT 5,Enr: 0 of 10,0,10,n,,[],DODD    ,  00167  ,ECON   ,T      ,15:30:00,16:55:00,58,1/3/2018 12:00:00 AM
ENGL    108     ,2014-11-10T16:00:00,2014-11-10T17:50:00,LEC 1,Enr: 30 of 0,30,0,n,,[],DODD    ,  00167  ,ENGL   ,MW     ,16:00:00,17:50:00,58,1/3/2018 12:00:00 AM
ENGL    108     ,2014-11-12T16:00:00,2014-11-12T17:50:00,LEC 1,Enr: 30 of 0,30,0,n,,[],DODD    ,  00167  ,ENGL   ,MW     ,16:00:00,17:50:00,58,1/3/2018 12:00:00 AM
IRANIAN 55      ,2014-11-13T17:00:00,2014-11-13T17:50:00,DIS 1B,Enr: 25 of 25,25,25,n,,[],DODD    ,  00167  ,IRANIAN,R      ,17:00:00,17:50:00,58,1/3/2018 12:00:00 AM
PUB PLC 291A    ,2014-11-11T17:00:00,2014-11-11T19:50:00,SEM 2,Enr: 29 of 35,29,35,n,,[],DODD    ,  00167  ,PUB PLC,T      ,17:00:00,19:50:00,58,1/3/2018 12:00:00 AM
HIST    114B    ,2014-11-11T08:00:00,2014-11-11T09:15:00,LEC 1,Enr: 40 of 40,40,40,n,,[],DODD    ,  00170  ,HIST   ,TR     ,08:00:00,09:15:00,62,1/3/2018 12:00:00 AM
HIST    114B    ,2014-11-13T08:00:00,2014-11-13T09:15:00,LEC 1,Enr: 40 of 40,40,40,n,,[],DODD    ,  00170  ,HIST   ,TR     ,08:00:00,09:15:00,62,1/3/2018 12:00:00 AM
HIST    161     ,2014-11-10T08:00:00,2014-11-10T08:50:00,LEC 2,Enr: 18 of 40,18,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,08:00:00,08:50:00,62,1/3/2018 12:00:00 AM
HIST    161     ,2014-11-12T08:00:00,2014-11-12T08:50:00,LEC 2,Enr: 18 of 40,18,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,08:00:00,08:50:00,62,1/3/2018 12:00:00 AM
HIST    161     ,2014-11-14T08:00:00,2014-11-14T08:50:00,LEC 2,Enr: 18 of 40,18,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,08:00:00,08:50:00,62,1/3/2018 12:00:00 AM
ENGL    10C     ,2014-11-10T09:00:00,2014-11-10T09:50:00,LEC 1,Enr: 54 of 80,54,80,n,,[],DODD    ,  00170  ,ENGL   ,MWF    ,09:00:00,09:50:00,62,1/3/2018 12:00:00 AM
ENGL    10C     ,2014-11-12T09:00:00,2014-11-12T09:50:00,LEC 1,Enr: 54 of 80,54,80,n,,[],DODD    ,  00170  ,ENGL   ,MWF    ,09:00:00,09:50:00,62,1/3/2018 12:00:00 AM
ENGL    10C     ,2014-11-14T09:00:00,2014-11-14T09:50:00,LEC 1,Enr: 54 of 80,54,80,n,,[],DODD    ,  00170  ,ENGL   ,MWF    ,09:00:00,09:50:00,62,1/3/2018 12:00:00 AM
ASIA AM 187C    ,2014-11-11T09:30:00,2014-11-11T10:45:00,LEC 1,Enr: 47 of 60,47,60,n,,[],DODD    ,  00170  ,ASIA AM,TR     ,09:30:00,10:45:00,62,1/3/2018 12:00:00 AM
ASIA AM 187C    ,2014-11-13T09:30:00,2014-11-13T10:45:00,LEC 1,Enr: 47 of 60,47,60,n,,[],DODD    ,  00170  ,ASIA AM,TR     ,09:30:00,10:45:00,62,1/3/2018 12:00:00 AM
HIST    105C    ,2014-11-10T10:00:00,2014-11-10T10:50:00,LEC 1,Enr: 40 of 40,40,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,10:00:00,10:50:00,62,1/3/2018 12:00:00 AM
HIST    105C    ,2014-11-12T10:00:00,2014-11-12T10:50:00,LEC 1,Enr: 40 of 40,40,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,10:00:00,10:50:00,62,1/3/2018 12:00:00 AM
HIST    105C    ,2014-11-14T10:00:00,2014-11-14T10:50:00,LEC 1,Enr: 40 of 40,40,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,10:00:00,10:50:00,62,1/3/2018 12:00:00 AM
HIST    22      ,2014-11-10T11:00:00,2014-11-10T11:50:00,LEC 1,Enr: 59 of 60,59,60,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,11:00:00,11:50:00,62,1/3/2018 12:00:00 AM
HIST    22      ,2014-11-12T11:00:00,2014-11-12T11:50:00,LEC 1,Enr: 59 of 60,59,60,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,11:00:00,11:50:00,62,1/3/2018 12:00:00 AM
HIST    22      ,2014-11-14T11:00:00,2014-11-14T11:50:00,LEC 1,Enr: 59 of 60,59,60,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,11:00:00,11:50:00,62,1/3/2018 12:00:00 AM
SOC WLF 232     ,2014-11-11T11:00:00,2014-11-11T12:15:00,LEC 1,Enr: 46 of 60,46,60,n,,[],DODD    ,  00170  ,SOC WLF,TR     ,11:00:00,12:15:00,62,1/3/2018 12:00:00 AM
SOC WLF 232     ,2014-11-13T11:00:00,2014-11-13T12:15:00,LEC 1,Enr: 46 of 60,46,60,n,,[],DODD    ,  00170  ,SOC WLF,TR     ,11:00:00,12:15:00,62,1/3/2018 12:00:00 AM
HIST    170B    ,2014-11-10T12:00:00,2014-11-10T12:50:00,LEC 1,Enr: 11 of 40,11,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,12:00:00,12:50:00,62,1/3/2018 12:00:00 AM
HIST    170B    ,2014-11-12T12:00:00,2014-11-12T12:50:00,LEC 1,Enr: 11 of 40,11,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,12:00:00,12:50:00,62,1/3/2018 12:00:00 AM
HIST    170B    ,2014-11-14T12:00:00,2014-11-14T12:50:00,LEC 1,Enr: 11 of 40,11,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,12:00:00,12:50:00,62,1/3/2018 12:00:00 AM
MGMT    123     ,2014-11-11T12:30:00,2014-11-11T13:45:00,LEC 1,Enr: 52 of 60,52,60,n,,[],DODD    ,  00170  ,MGMT   ,TR     ,12:30:00,13:45:00,62,1/3/2018 12:00:00 AM
MGMT    123     ,2014-11-13T12:30:00,2014-11-13T13:45:00,LEC 1,Enr: 52 of 60,52,60,n,,[],DODD    ,  00170  ,MGMT   ,TR     ,12:30:00,13:45:00,62,1/3/2018 12:00:00 AM
CCAS    143     ,2014-11-12T13:00:00,2014-11-12T13:50:00,DIS 1D,Enr: 10 of 30,10,30,n,,[],DODD    ,  00170  ,CCAS   ,W      ,13:00:00,13:50:00,62,1/3/2018 12:00:00 AM
CHEM    14C     ,2014-11-14T13:00:00,2014-11-14T13:50:00,DIS 1H,Enr: 29 of 29,29,29,n,,[],DODD    ,  00170  ,CHEM   ,F      ,13:00:00,13:50:00,62,1/3/2018 12:00:00 AM
ECON    C246C   ,2014-11-10T14:00:00,2014-11-10T14:50:00,SEM 1,Enr: 2 of 30,2,30,n,,[],DODD    ,  00170  ,ECON   ,MW     ,14:00:00,14:50:00,62,1/3/2018 12:00:00 AM
ECON    C246C   ,2014-11-12T14:00:00,2014-11-12T14:50:00,SEM 1,Enr: 2 of 30,2,30,n,,[],DODD    ,  00170  ,ECON   ,MW     ,14:00:00,14:50:00,62,1/3/2018 12:00:00 AM
RELIGN  101     ,2014-11-11T14:00:00,2014-11-11T15:15:00,LEC 1,Enr: 48 of 50,48,50,n,,[],DODD    ,  00170  ,RELIGN ,TR     ,14:00:00,15:15:00,62,1/3/2018 12:00:00 AM
RELIGN  101     ,2014-11-13T14:00:00,2014-11-13T15:15:00,LEC 1,Enr: 48 of 50,48,50,n,,[],DODD    ,  00170  ,RELIGN ,TR     ,14:00:00,15:15:00,62,1/3/2018 12:00:00 AM
HIST    180A    ,2014-11-10T15:00:00,2014-11-10T15:50:00,LEC 1,Enr: 17 of 40,17,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,15:00:00,15:50:00,62,1/3/2018 12:00:00 AM
HIST    180A    ,2014-11-12T15:00:00,2014-11-12T15:50:00,LEC 1,Enr: 17 of 40,17,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,15:00:00,15:50:00,62,1/3/2018 12:00:00 AM
HIST    180A    ,2014-11-14T15:00:00,2014-11-14T15:50:00,LEC 1,Enr: 17 of 40,17,40,n,,[],DODD    ,  00170  ,HIST   ,MWF    ,15:00:00,15:50:00,62,1/3/2018 12:00:00 AM
GENDER  M180B   ,2014-11-11T15:30:00,2014-11-11T16:45:00,LEC 1,Enr: 36 of 40,27,30,y,Multiple-Listed Class,"['Gender Studies (GENDER) M180B - Historical Perspectives on Gender and Science', 'History (HIST) M180B - Historical Perspectives on Gender and Science']",DODD    ,  00170  ,GENDER ,TR     ,15:30:00,16:45:00,62,1/3/2018 12:00:00 AM
GENDER  M180B   ,2014-11-13T15:30:00,2014-11-13T16:45:00,LEC 1,Enr: 36 of 40,27,30,y,Multiple-Listed Class,"['Gender Studies (GENDER) M180B - Historical Perspectives on Gender and Science', 'History (HIST) M180B - Historical Perspectives on Gender and Science']",DODD    ,  00170  ,GENDER ,TR     ,15:30:00,16:45:00,62,1/3/2018 12:00:00 AM
ECON    41      ,2014-11-12T16:00:00,2014-11-12T16:50:00,DIS 1C,Enr: 14 of 14,14,14,n,,[],DODD    ,  00170  ,ECON   ,W      ,16:00:00,16:50:00,62,1/3/2018 12:00:00 AM
