title,start,end,lecture,enrollment,enroll_total,enroll_capacity,mult_list_flag,multi_header,multi_list_classes,meet_bdg,meet_rm,Subj_Area,Days_in_week,strt_time,stop_time,fac_capacity,start_date
MGMTFE  411     ,2014-11-13T18:30:00,2014-11-13T21:45:00,LEC 4,Enr: 80 of 70,80,70,n,,[],ANDERSON, G00419  ,MGMTFE ,R      ,18:30:00,21:45:00,90,1/1/2020 12:00:00 AM
BIOL CH 296     ,2014-11-10T12:00:00,2014-11-10T12:50:00,SEM 1,Enr: 0 of 25,0,25,n,,[],BIO SCI ,  00154  ,BIOL CH,M      ,12:00:00,12:50:00,12,1/7/2008 12:00:00 AM
HLT POL 249     ,2014-11-10T13:00:00,2014-11-10T14:50:00,SEM 1,Enr: 11 of 20,11,20,n,,[],BIO SCI ,  00154  ,HLT POL,MW     ,13:00:00,14:50:00,12,1/7/2008 12:00:00 AM
HLT POL 249     ,2014-11-12T13:00:00,2014-11-12T14:50:00,SEM 1,Enr: 11 of 20,11,20,n,,[],BIO SCI ,  00154  ,HLT POL,MW     ,13:00:00,14:50:00,12,1/7/2008 12:00:00 AM
NEURO   215     ,2014-11-14T15:30:00,2014-11-14T16:45:00,SEM 4,Enr: 8 of 14,8,14,n,,[],BIO SCI ,  00154  ,NEURO  ,F      ,15:30:00,16:45:00,12,1/7/2008 12:00:00 AM
MIMG    C185B   ,2014-11-14T15:00:00,2014-11-14T16:30:00,LEC 1,Enr: 18 of 24,18,18,n,,[],BIO SCI ,  00210C ,MIMG   ,F      ,15:00:00,16:30:00,20,1/1/2019 12:00:00 AM
PHYSCI  194A    ,2014-11-12T14:00:00,2014-11-12T15:50:00,SEM 1,Enr: 13 of 30,13,30,n,,[],BIO SCI ,  00283  ,PHYSCI ,W      ,14:00:00,15:50:00,25,1/7/2008 12:00:00 AM
BIOL CH 248     ,2014-11-10T12:00:00,2014-11-10T13:30:00,SEM 1,Enr: 5 of 10,5,10,n,,[],BIO SCI ,  00383  ,BIOL CH,M      ,12:00:00,13:30:00,12,1/7/2008 12:00:00 AM
BIOL CH 251C    ,2014-11-14T13:00:00,2014-11-14T14:50:00,SEM 1,Enr: 1 of 20,1,20,n,,[],BIO SCI ,  00383  ,BIOL CH,F      ,13:00:00,14:50:00,12,1/7/2008 12:00:00 AM
RES PRC 193     ,2014-11-14T16:00:00,2014-11-14T18:20:00,SEM 1,Enr: 8 of 12,8,12,n,,[],BIO SCI ,  00383  ,RES PRC,F      ,16:00:00,18:20:00,12,1/7/2008 12:00:00 AM
