19,MED     M160B   ,LEC 1,0,0,BOELTER ,2444,MED    ,F      ,12:00:00,13:50:00,80
19,CH ENGR 103     ,LEC 1,55,90,BOELTER ,2444,CH ENGR,MW     ,14:00:00,15:50:00,80
19,CH ENGR 103     ,LEC 1,55,90,BOELTER ,2444,CH ENGR,MW     ,14:00:00,15:50:00,80
19,COM SCI 259     ,LEC 1,54,0,BOELTER ,2444,COM SCI,TR     ,14:00:00,15:50:00,80
19,COM SCI 259     ,LEC 1,54,0,BOELTER ,2444,COM SCI,TR     ,14:00:00,15:50:00,80
19,COM SCI 267A    ,DIS 1A,57,0,BOELTER ,2444,COM SCI,F      ,14:00:00,15:50:00,80
19,COM SCI 33      ,DIS 1G,53,0,BOELTER ,2444,COM SCI,F      ,16:00:00,17:50:00,80
19,COM SCI 269     ,SEM 5,45,0,BOELTER ,2444,COM SCI,MW     ,16:00:00,17:50:00,80
19,COM SCI 269     ,SEM 5,45,0,BOELTER ,2444,COM SCI,MW     ,16:00:00,17:50:00,80
19,ENGR    112     ,LEC 1,28,66,BOELTER ,2444,ENGR   ,TR     ,16:00:00,17:50:00,80
19,ENGR    112     ,LEC 1,28,66,BOELTER ,2444,ENGR   ,TR     ,16:00:00,17:50:00,80
19,POL SCI 147A    ,DIS 1C,12,14,BOELTER ,2444,POL SCI,R      ,18:00:00,18:50:00,80
20,BIOENGR M225    ,LEC 1,4,5,BOELTER ,2760,BIOENGR,TR     ,8:00:00,9:50:00,72
20,BIOENGR M225    ,LEC 1,4,5,BOELTER ,2760,BIOENGR,TR     ,8:00:00,9:50:00,72
20,C&EE    129L    ,LEC 1,21,21,BOELTER ,2760,C&EE   ,W      ,8:00:00,9:50:00,72
20,EC ENGR 239AS   ,DIS 1A,44,60,BOELTER ,2760,EC ENGR,F      ,9:00:00,9:50:00,72
20,MAT SCI 201     ,DIS 1A,23,45,BOELTER ,2760,MAT SCI,M      ,9:00:00,9:50:00,72
20,COM SCI 35L     ,DIS 1B,24,0,BOELTER ,2760,COM SCI,F      ,10:00:00,11:50:00,72
20,MAT SCI 104     ,LEC 1,60,72,BOELTER ,2760,MAT SCI,MW     ,10:00:00,11:50:00,72
20,MAT SCI 104     ,LEC 1,60,72,BOELTER ,2760,MAT SCI,MW     ,10:00:00,11:50:00,72
20,MECH&AE 150B    ,LEC 1,61,70,BOELTER ,2760,MECH&AE,TR     ,10:00:00,11:50:00,72
20,MECH&AE 150B    ,LEC 1,61,70,BOELTER ,2760,MECH&AE,TR     ,10:00:00,11:50:00,72
20,C&EE    M165    ,LEC 1,47,70,BOELTER ,2760,C&EE   ,MW     ,12:00:00,13:50:00,72
20,C&EE    M165    ,LEC 1,47,70,BOELTER ,2760,C&EE   ,MW     ,12:00:00,13:50:00,72
20,C&EE    M165    ,DIS 1A,47,70,BOELTER ,2760,C&EE   ,F      ,12:00:00,13:50:00,72
20,MCD BIO 187AL   ,LEC 1,56,57,BOELTER ,2760,MCD BIO,TR     ,12:30:00,13:45:00,72
20,MCD BIO 187AL   ,LEC 1,56,57,BOELTER ,2760,MCD BIO,TR     ,12:30:00,13:45:00,72
20,COM SCI 267A    ,LEC 1,57,0,BOELTER ,2760,COM SCI,TR     ,14:00:00,15:50:00,72
20,COM SCI 267A    ,LEC 1,57,0,BOELTER ,2760,COM SCI,TR     ,14:00:00,15:50:00,72
20,MECH&AE C163C   ,LEC 1,2,10,BOELTER ,2760,MECH&AE,MW     ,14:00:00,15:50:00,72
20,MECH&AE C163C   ,LEC 1,2,10,BOELTER ,2760,MECH&AE,MW     ,14:00:00,15:50:00,72
20,MECH&AE C163C   ,DIS 1A,2,10,BOELTER ,2760,MECH&AE,F      ,14:00:00,15:50:00,72
20,C&EE    241     ,LEC 1,45,40,BOELTER ,2760,C&EE   ,MW     ,16:00:00,17:50:00,72
20,C&EE    241     ,LEC 1,45,40,BOELTER ,2760,C&EE   ,MW     ,16:00:00,17:50:00,72
20,COM SCI 33      ,DIS 1H,52,0,BOELTER ,2760,COM SCI,F      ,16:00:00,17:50:00,72
20,MECH&AE 82      ,LEC 1,57,72,BOELTER ,2760,MECH&AE,TR     ,16:00:00,17:50:00,72
20,MECH&AE 82      ,LEC 1,57,72,BOELTER ,2760,MECH&AE,TR     ,16:00:00,17:50:00,72
20,MECH&AE 183A    ,LEC 1,64,65,BOELTER ,2760,MECH&AE,TR     ,18:00:00,19:15:00,72
20,MECH&AE 183A    ,LEC 1,64,65,BOELTER ,2760,MECH&AE,TR     ,18:00:00,19:15:00,72
21,ENGR    96A     ,LEC 3,16,0,BOELTER ,2808,ENGR   ,W      ,9:00:00,11:50:00,20
21,ENGR    96A     ,LEC 4,11,0,BOELTER ,2808,ENGR   ,T      ,9:00:00,11:50:00,20
21,ENGR    96A     ,LEC 5,14,0,BOELTER ,2808,ENGR   ,M      ,9:00:00,11:50:00,20
21,ENGR    96R     ,LEC 1,19,0,BOELTER ,2808,ENGR   ,R      ,9:00:00,11:50:00,20
21,BIOENGR 121     ,LEC 1,22,25,BOELTER ,2808,BIOENGR,MW     ,12:00:00,13:50:00,20
21,BIOENGR 121     ,LEC 1,22,25,BOELTER ,2808,BIOENGR,MW     ,12:00:00,13:50:00,20
21,ENGR    96A     ,LEC 1,19,0,BOELTER ,2808,ENGR   ,T      ,12:00:00,14:50:00,20
21,ENGR    96E     ,LEC 1,9,0,BOELTER ,2808,ENGR   ,R      ,12:00:00,14:50:00,20
21,ENGR    96A     ,LEC 6,11,0,BOELTER ,2808,ENGR   ,W      ,15:00:00,17:50:00,20
21,ENGR    96G     ,LEC 1,18,0,BOELTER ,2808,ENGR   ,T      ,15:00:00,17:50:00,20
22,ENGR    183EW   ,LEC 1,107,0,BOELTER ,3400,ENGR   ,MW     ,8:00:00,9:50:00,174
22,ENGR    183EW   ,LEC 1,107,0,BOELTER ,3400,ENGR   ,MW     ,8:00:00,9:50:00,174
22,ENGR    188EW   ,LEC 1,102,0,BOELTER ,3400,ENGR   ,TR     ,8:00:00,9:50:00,174
22,ENGR    188EW   ,LEC 1,102,0,BOELTER ,3400,ENGR   ,TR     ,8:00:00,9:50:00,174
22,MECH&AE 107     ,DIS 1A,93,0,BOELTER ,3400,MECH&AE,F      ,9:00:00,9:50:00,174
22,C&EE    103     ,LEC 1,105,107,BOELTER ,3400,C&EE   ,MW     ,10:00:00,11:50:00,174
22,C&EE    103     ,LEC 1,105,107,BOELTER ,3400,C&EE   ,MW     ,10:00:00,11:50:00,174
22,CH ENGR 299     ,SEM 1,98,110,BOELTER ,3400,CH ENGR,F      ,10:00:00,11:50:00,174
22,COM SCI 131     ,LEC 1,125,0,BOELTER ,3400,COM SCI,TR     ,10:00:00,11:50:00,174
22,COM SCI 131     ,LEC 1,125,0,BOELTER ,3400,COM SCI,TR     ,10:00:00,11:50:00,174
22,BIOENGR 110     ,LEC 1,67,90,BOELTER ,3400,BIOENGR,MW     ,12:00:00,13:50:00,174
22,BIOENGR 110     ,LEC 1,67,90,BOELTER ,3400,BIOENGR,MW     ,12:00:00,13:50:00,174
22,C&EE    M20     ,LEC 1,116,118,BOELTER ,3400,C&EE   ,T      ,12:00:00,13:50:00,174
22,C&EE    M20     ,DIS 1A,116,118,BOELTER ,3400,C&EE   ,R      ,12:00:00,13:50:00,174
22,MECH&AE 156A    ,DIS 1A,88,92,BOELTER ,3400,MECH&AE,F      ,12:00:00,13:50:00,174
22,CH ENGR C128    ,DIS 1A,19,80,BOELTER ,3400,CH ENGR,F      ,14:00:00,14:50:00,174
22,COM SCI M146    ,LEC 2,94,0,BOELTER ,3400,COM SCI,TR     ,14:00:00,15:50:00,174
22,COM SCI M146    ,LEC 2,94,0,BOELTER ,3400,COM SCI,TR     ,14:00:00,15:50:00,174
22,MECH&AE 102     ,LEC 1,109,110,BOELTER ,3400,MECH&AE,MW     ,14:00:00,15:50:00,174
22,MECH&AE 102     ,LEC 1,109,110,BOELTER ,3400,MECH&AE,MW     ,14:00:00,15:50:00,174
22,COM SCI M51A    ,LEC 1,0,0,BOELTER ,3400,COM SCI,MW     ,16:00:00,17:50:00,174
22,COM SCI M51A    ,LEC 1,0,0,BOELTER ,3400,COM SCI,MW     ,16:00:00,17:50:00,174
22,COM SCI 201     ,SEM 1,210,0,BOELTER ,3400,COM SCI,TR     ,16:00:00,17:50:00,174
22,COM SCI 201     ,SEM 1,210,0,BOELTER ,3400,COM SCI,TR     ,16:00:00,17:50:00,174
22,MECH&AE 105D    ,DIS 1B,57,65,BOELTER ,3400,MECH&AE,F      ,16:00:00,17:50:00,174
22,COM SCI C174C   ,LEC 1,60,0,BOELTER ,3400,COM SCI,MW     ,18:00:00,19:50:00,174
22,COM SCI C174C   ,LEC 1,60,0,BOELTER ,3400,COM SCI,MW     ,18:00:00,19:50:00,174
22,EC ENGR 101B    ,LEC 1,95,125,BOELTER ,3400,EC ENGR,TR     ,18:00:00,19:50:00,174
22,EC ENGR 101B    ,LEC 1,95,125,BOELTER ,3400,EC ENGR,TR     ,18:00:00,19:50:00,174
24,COM SCI M152A   ,LAB 1,30,0,BOELTER ,3428,COM SCI,MW     ,10:00:00,11:50:00,1
24,COM SCI M152A   ,LAB 1,30,0,BOELTER ,3428,COM SCI,MW     ,10:00:00,11:50:00,1
24,COM SCI M152A   ,LAB 5,30,0,BOELTER ,3428,COM SCI,TR     ,10:00:00,11:50:00,1
24,COM SCI M152A   ,LAB 5,30,0,BOELTER ,3428,COM SCI,TR     ,10:00:00,11:50:00,1
24,COM SCI M152A   ,LAB 2,30,0,BOELTER ,3428,COM SCI,MW     ,12:00:00,13:50:00,1
24,COM SCI M152A   ,LAB 2,30,0,BOELTER ,3428,COM SCI,MW     ,12:00:00,13:50:00,1
24,COM SCI M152A   ,LAB 6,30,0,BOELTER ,3428,COM SCI,TR     ,12:00:00,13:50:00,1
24,COM SCI M152A   ,LAB 6,30,0,BOELTER ,3428,COM SCI,TR     ,12:00:00,13:50:00,1
24,COM SCI M152A   ,LAB 3,30,0,BOELTER ,3428,COM SCI,MW     ,14:00:00,15:50:00,1
24,COM SCI M152A   ,LAB 3,30,0,BOELTER ,3428,COM SCI,MW     ,14:00:00,15:50:00,1
24,COM SCI M152A   ,LAB 7,30,0,BOELTER ,3428,COM SCI,TR     ,14:00:00,15:50:00,1
24,COM SCI M152A   ,LAB 7,30,0,BOELTER ,3428,COM SCI,TR     ,14:00:00,15:50:00,1
24,EC ENGR M116L   ,LAB 4,0,0,BOELTER ,3428,EC ENGR,MW     ,16:00:00,17:50:00,1
24,EC ENGR M116L   ,LAB 4,0,0,BOELTER ,3428,EC ENGR,MW     ,16:00:00,17:50:00,1
24,EC ENGR M116L   ,LAB 8,0,0,BOELTER ,3428,EC ENGR,TR     ,16:00:00,17:50:00,1
24,EC ENGR M116L   ,LAB 8,0,0,BOELTER ,3428,EC ENGR,TR     ,16:00:00,17:50:00,1
25,COM SCI 152B    ,LAB 1,24,0,BOELTER ,3436,COM SCI,MW     ,12:00:00,13:50:00,20
25,COM SCI 152B    ,LAB 1,24,0,BOELTER ,3436,COM SCI,MW     ,12:00:00,13:50:00,20
25,COM SCI 152B    ,DIS 1A,24,0,BOELTER ,3436,COM SCI,F      ,12:00:00,13:50:00,20
28,C&EE    M20     ,LAB G001,31,30,BOELTER ,3760,C&EE   ,R      ,8:00:00,9:50:00,28
28,C&EE    M20     ,LAB G002,26,29,BOELTER ,3760,C&EE   ,F      ,8:00:00,9:50:00,28
28,C&EE    M20     ,LAB G003,29,29,BOELTER ,3760,C&EE   ,F      ,10:00:00,11:50:00,28
30,CHEM    153A    ,DIS 1G,7,29,BOELTER ,4283,CHEM   ,R      ,8:00:00,8:50:00,30
30,CHEM    153A    ,DIS 1J,16,29,BOELTER ,4283,CHEM   ,F      ,8:00:00,8:50:00,30
30,CHEM    153B    ,DIS 1A,24,0,BOELTER ,4283,CHEM   ,T      ,8:00:00,8:50:00,30
30,LIFESCI 7C      ,DIS 1A,28,28,BOELTER ,4283,LIFESCI,M      ,8:00:00,9:15:00,30
30,EC ENGR 100     ,DIS 1B,24,27,BOELTER ,4283,EC ENGR,R      ,9:00:00,9:50:00,30
30,ENGR    112     ,DIS 1A,6,22,BOELTER ,4283,ENGR   ,F      ,9:00:00,9:50:00,30
30,COM SCI M51A    ,DIS 1C,0,0,BOELTER ,4283,COM SCI,F      ,10:00:00,11:50:00,30
30,ENGR    183EW   ,DIS 1A,22,0,BOELTER ,4283,ENGR   ,T      ,10:00:00,12:50:00,30
30,ENGR    183EW   ,DIS 1C,21,0,BOELTER ,4283,ENGR   ,R      ,10:00:00,12:50:00,30
30,ENGR    183EW   ,DIS 1E,23,0,BOELTER ,4283,ENGR   ,W      ,10:00:00,12:50:00,30
30,COM SCI M51A    ,DIS 1D,0,0,BOELTER ,4283,COM SCI,F      ,12:00:00,13:50:00,30
30,ENGR    183EW   ,DIS 1B,22,0,BOELTER ,4283,ENGR   ,T      ,13:00:00,15:50:00,30
30,ENGR    183EW   ,DIS 1D,19,0,BOELTER ,4283,ENGR   ,R      ,13:00:00,15:50:00,30
30,PSYCH   120B    ,DIS 1E,21,21,BOELTER ,4283,PSYCH  ,W      ,13:00:00,13:50:00,30
30,C&EE    125     ,LEC 2,7,45,BOELTER ,4283,C&EE   ,MW     ,14:00:00,15:50:00,30
30,C&EE    125     ,LEC 2,7,45,BOELTER ,4283,C&EE   ,MW     ,14:00:00,15:50:00,30
30,ENGR    110     ,DIS 1F,21,24,BOELTER ,4283,ENGR   ,F      ,14:00:00,14:50:00,30
30,COM SCI M148    ,DIS 1F,0,0,BOELTER ,4283,COM SCI,F      ,15:00:00,15:50:00,30
30,BIOENGR 271     ,LEC 1,19,30,BOELTER ,4283,BIOENGR,TR     ,16:00:00,17:50:00,30
30,BIOENGR 271     ,LEC 1,19,30,BOELTER ,4283,BIOENGR,TR     ,16:00:00,17:50:00,30
30,MECH&AE 252P    ,LEC 1,17,20,BOELTER ,4283,MECH&AE,MW     ,16:00:00,17:50:00,30
30,MECH&AE 252P    ,LEC 1,17,20,BOELTER ,4283,MECH&AE,MW     ,16:00:00,17:50:00,30
31,CH ENGR 108B    ,DIS 1A,44,45,BOELTER ,4404,CH ENGR,F      ,12:00:00,12:50:00,65
31,CH ENGR 108B    ,DIS 1B,32,45,BOELTER ,4404,CH ENGR,F      ,13:00:00,13:50:00,65
31,C&EE    M20     ,LAB G004,30,30,BOELTER ,4404,C&EE   ,F      ,14:00:00,15:50:00,65
31,C&EE    103     ,DIS 1A,56,56,BOELTER ,4404,C&EE   ,R      ,14:00:00,15:50:00,65
31,MECH&AE 94      ,LAB 1A,52,50,BOELTER ,4404,MECH&AE,TW     ,14:00:00,15:50:00,65
31,MECH&AE 94      ,LAB 1A,52,50,BOELTER ,4404,MECH&AE,TW     ,14:00:00,15:50:00,65
31,BIOENGR CM186   ,LAB 1A,7,7,BOELTER ,4404,BIOENGR,F      ,16:00:00,17:50:00,65
31,C&EE    103     ,DIS 1B,49,51,BOELTER ,4404,C&EE   ,R      ,16:00:00,17:50:00,65
31,MECH&AE 94      ,LAB 1B,28,30,BOELTER ,4404,MECH&AE,MW     ,16:00:00,17:50:00,65
31,MECH&AE 94      ,LAB 1B,28,30,BOELTER ,4404,MECH&AE,MW     ,16:00:00,17:50:00,65
32,CHEM    153A    ,DIS 2A,14,30,BOELTER ,4413,CHEM   ,T      ,8:00:00,8:50:00,30
32,CHEM    30A     ,DIS 1A,26,27,BOELTER ,4413,CHEM   ,T      ,9:00:00,9:50:00,30
32,CHEM    30C     ,DIS 1G,0,0,BOELTER ,4413,CHEM   ,R      ,9:00:00,9:50:00,30
32,ENGR    110     ,DIS 1A,22,24,BOELTER ,4413,ENGR   ,F      ,9:00:00,9:50:00,30
32,BIOENGR 176     ,DIS 1C,26,25,BOELTER ,4413,BIOENGR,F      ,10:00:00,11:50:00,30
32,ENGR    188EW   ,DIS 1A,22,0,BOELTER ,4413,ENGR   ,T      ,10:00:00,12:50:00,30
32,ENGR    188EW   ,DIS 1C,21,0,BOELTER ,4413,ENGR   ,R      ,10:00:00,12:50:00,30
32,ENGR    188EW   ,DIS 1E,22,0,BOELTER ,4413,ENGR   ,W      ,10:00:00,12:50:00,30
32,PSYCH   130     ,DIS 1C,25,25,BOELTER ,4413,PSYCH  ,M      ,11:00:00,11:50:00,30
32,PHYSCI  111B    ,DIS 1I,19,18,BOELTER ,4413,PHYSCI ,F      ,12:00:00,13:50:00,30
32,PSYCH   130     ,DIS 1D,25,25,BOELTER ,4413,PSYCH  ,M      ,12:00:00,12:50:00,30
32,EC ENGR 102     ,DIS 1A,25,29,BOELTER ,4413,EC ENGR,M      ,13:00:00,13:50:00,30
32,EC ENGR 163DB   ,LEC 1,29,29,BOELTER ,4413,EC ENGR,W      ,13:00:00,13:50:00,30
32,ENGR    188EW   ,DIS 1B,18,0,BOELTER ,4413,ENGR   ,T      ,13:00:00,15:50:00,30
32,ENGR    188EW   ,DIS 1D,19,0,BOELTER ,4413,ENGR   ,R      ,13:00:00,15:50:00,30
32,COM SCI M148    ,DIS 1E,0,0,BOELTER ,4413,COM SCI,F      ,14:00:00,14:50:00,30
32,ENVIRON M235    ,SEM 1,11,13,BOELTER ,4413,ENVIRON,MW     ,14:00:00,15:15:00,30
32,ENVIRON M235    ,SEM 1,11,13,BOELTER ,4413,ENVIRON,MW     ,14:00:00,15:15:00,30
32,EC ENGR 241A    ,DIS 1B,0,0,BOELTER ,4413,EC ENGR,F      ,15:00:00,15:50:00,30
32,MECH&AE 172     ,LEC 1,20,19,BOELTER ,4413,MECH&AE,MW     ,16:00:00,17:50:00,30
32,MECH&AE 172     ,LEC 1,20,19,BOELTER ,4413,MECH&AE,MW     ,16:00:00,17:50:00,30
32,MECH&AE 259B    ,SEM 1,27,25,BOELTER ,4413,MECH&AE,TR     ,16:00:00,17:50:00,30
32,MECH&AE 259B    ,SEM 1,27,25,BOELTER ,4413,MECH&AE,TR     ,16:00:00,17:50:00,30
33,ENGCOMP M495I   ,SEM 1,0,0,BOELTER ,4760,ENGCOMP,F      ,9:00:00,11:50:00,70
